Description,Designator,Footprint,Quantity,VALUE,Comment,LOAD,MFT,MPN,RATING,TYPE,DNP,Library Name
"EEPROM Serial-I2C 8.5K-bit 2.5V/3.3V/5V 8-Pin SOIC Bulk","U8","SOIC-8","1","ATECC108-SSHDA-B","","DNP","Microchip / Atmel","ATECC108-SSHDA-B","2.5V/3.3V/5V","SMD","","IC.IntLib"
"FERRITE BEAD 1 KOHM 1206 1LN","FB1","1206 INDUCTOR","1","BLM31KN102SN1L","","","Murata","BLM31KN102SN1L","1 KOHM","SMD","","Inductor.IntLib"
"FERRITE CHIP 120 OHM 0805","L2.1, L2.2","0805 INDUCTOR","2","120 Ohm","","","Murata Electronics North America","BLM21PG121SN1D","3A","Surface Mount","","Inductor.IntLib"
"IC AUTHENTICATION CHIP 8SOIC","U5","SOIC-8","1","ATSHA204A-SSHDA-T","","","Microchip Technology","ATSHA204A-SSHDA-T","","SMD","","IC.IntLib"
"IC EEPROM 32KBIT 400KHZ SOT23-5","U1.1, U1.2","SOT-23-5","2","24LC32AT-I/OT","","DNP","Microchip Technology","24LC32AT-I/OT","","SMD","","IC.IntLib"
"IC EEPROM 256K I2C 400KHZ 8SOIC","U6","SOIC-8","1","24LC256T-I/SN","","DNP","Microchip Technology","24LC256T-I/SN","","SMD","","IC.IntLib"
"IC INDCT LOAD DRVR AUTO SOT23","Q1, Q2, Q3, Q4, Q5","SOT-23-3","5","NUD3124LT1G","","","ON Semiconductor","NUD3124LT1G","","Surface Mount","","Transistor.IntLib"
"IC INVERTER HS SINGLE SOT-23-5","U2","SOT 23-5","1","NC7S04M5X","","","ON Semiconductor","NC7S04M5X","","SMD","","IC.IntLib"
"IC RTC /CALENDAR TCXO QTZ 20SOIC","U25","SOIC-20","1","PCF2129AT/2,518","","DNP","NXP Semiconductors","PCF2129AT/2,518","","SMD","","IC.IntLib"
"IC RTC I2C 8SOIC","U9","SOIC-8","1","DS3231MZ+","","","Maxim","DS3231MZ+","","SMD","","IC.IntLib"
"LED BLUE 0402 SMD","D2, D8, D15","LED0402(BLUE)","3","Blue","","","Vishay Semiconductor Opto Division","VLMB1500-GS08","","SMD","","Diode.IntLib"
"LED BLUE CLEAR 0603 SMD","D4.1, D4.2","LED-0603 (BLUE)","2","Blue","","","Lite-On Inc.","LTST-C191TBKT","","Surface Mount","","Diode.IntLib"
"LED CHIPLED 633NM RED 0805 SMD","D5.1, D5.2","LED0805 - (RED)","2","Red","","","OSRAM Opto Semiconductors Inc.","LS R976-NR-1","","","","Diode.IntLib"
"LED GREEN 0402 SMD","D7, D10, D13, D14","LED0402(GREEN)","4","Green","","","Panasonic Electronic Components","LNJ347W83RA","","Surface Mount","","Diode.IntLib"
"LED RED 0402 SMD","D9, D11","LED0402(RED)","2","Red","","","Panasonic Electronic Components","LNJ247W82RA","","Surface Mount","","Diode.IntLib"
"MCU 8BIT 32KB FLASH 28SSOP","U24","SSOP-28 (PIC)","1","PIC18F25K22T-I/SS","","","Microchip","PIC18F25K22T-I/SS","","SMD","","IC.IntLib"
"RES SMD 0.0 OHM JUMPER 1/4W 1206","R4, R5, R57, R58, R59","R1206","5","0.0","","","Yageo","RC1206JR-070RL","","Surface Mount","","Res.IntLib"
"RES SMD 0.0 OHM JUMPER 1/8W 0805","R2, R3","R0805","2","0.0","","","Yageo","RC0805JR-070RL","1/8W","Surface Mount","","Res.IntLib"
"RES SMD 0.0OHM JUMPER 1/16W 0402","R19, R21, R31","R0402","3","0.0","","","Vishay Dale","CRCW04020000Z0ED","63mW","Surface Mount","","Res.IntLib"
"RES SMD 1K OHM 1% 1/10W 0402","R1.1, R1.2, R10.1, R10.2, R11.1, R11.2, R23, R24, R36, R37","R0402","10","1k","","","Vishay Beyschlag","MCS04020C1001FE000","1/10W","SMD","","Res.IntLib"
"RES SMD 1K OHM 1% 1/10W 0603","R13.1, R13.2, R14.1, R14.2, R55, R56","R0603","6","1k","","","Panasonic Electronic Components","ERJ-3EKF1001V","0.1W","Surface Mount","","Res.IntLib"
"RES SMD 1K OHM 1% 1/16W 0402","R44, R46","R0402","2","1k","","","Vishay Dale","CRCW04021K00FKED","0.063W","Surface Mount","","Res.IntLib"
"RES SMD 1K OHM 1% 1/16W 0603","R6","R0603","1","1k","","","TE Connectivity AMP Connectors","6-1879336-2","0.063W","SMD","","Res.IntLib"
"RES SMD 2.2K OHM 1% 1/10W 0402","R42","R0402","1","2.2k","","","Panasonic Electronic Components","ERJ-2RKF2201X","0.1W, 1/10W","Surface Mount","","Res.IntLib"
"RES SMD 4.7K OHM 0.1% 1/10W 0603","R12.1, R12.2, R20","R0603","3","4.7k","","","Panasonic","ERA-3AEB472V","1/10W","SMD","","Res.IntLib"
"RES SMD 4.7K OHM 5% 1/16W 0402","R25, R26, R27, R50, R51, R52, R54, R60, R61","R0402","9","4.7k","","","Yageo","RC0402JR-074K7L","±5%","Surface Mount","","Res.IntLib"
"RES SMD 4.7K OHM 5% 1/16W 0402","R28, R29, R33, R34, R35, R38, R48, R49, R53","R0402","9","4.7k","","DNP","Yageo","RC0402JR-074K7L","±5%","Surface Mount","","Res.IntLib"
"RES SMD 5.23K OHM 1% 1/16W 0402","R45","R0402","1","5.23k","","","Vishay Dale","CRCW04025K23FKED","0.063W","Surface Mount","","Res.IntLib"
"RES SMD 6.81KOHM 0.1% 1/16W 0402","R41","R0402","1","6.81k","","","Yageo","RT0402BRD076K81L","1/16W","SMD","","Res.IntLib"
"RES SMD 10K OHM 1% 1/5W 0402","R30","R0402","1","10k","","","Vishay Dale","CRCW040210K0FKEDHP","0.2W, 1/5W","Surface Mount","","Res.IntLib"
"RES SMD 10K OHM 1% 1/5W 0402","R32","R0402","1","10k","","DNP","Vishay Dale","CRCW040210K0FKEDHP","0.2W, 1/5W","Surface Mount","","Res.IntLib"
"RES SMD 10K OHM 5% 1/16W 0402","R39","R0402","1","10k","","","Vishay Dale","CRCW040210K0JNED","0.063W, 1/16W","Surface Mount","","Res.IntLib"
"RES SMD 100K OHM 1% 1/16W 0402","R40","R0402","1","100k","","","Vishay Dale","CRCW0402100KFKED","0.063W","Surface Mount","","Res.IntLib"
