,,,Project:,Wilamp DCU,,,,,,,,
,,,Document:,BILL OF MATERIALS (BOM),,,,,,,,
,,,Revision:,V1.0,,,,,,,,
,,,Prepared By:,Jbayalas,,,,,,,,
,,,Release Date:,5-Jan-19,,,,,,,,
,,,,,,,,,,,,
FUNCTION,QTY,REFDES,DESC,MPN,MFT,PACKAGE,VALUE,RATING,TYPE,LOAD,Library Name,
LED,1,R15,RES SMD 330 OHM 1% 1/16W 0402,CRCW0402330RFKED,Vishay Dale,R0402,330,1/16W,SMD,,Res.IntLib,
JENNIC,3,"R12.1, R12.2, R12.3",RES SMD 4.7K OHM 0.1% 1/10W 0603,ERA-3AEB472V,Panasonic,R0603,4.7k,1/10W,SMD,,Res.IntLib,
PIC,1,R20,RES SMD 4.7K OHM 0.1% 1/10W 0603,ERA-3AEB472V,Panasonic,R0603,4.7k,1/10W,SMD,,Res.IntLib,
CRYPTO,5,"R25, R26, R27, R60, R61",RES SMD 4.7K OHM 5% 1/16W 0402,RC0402JR-074K7L,Yageo,R0402,4.7k,±5%,SMD,,Res.IntLib,
CRYPTO,5,"R28, R29, R33, R34, R35",RES SMD 4.7K OHM 5% 1/16W 0402,RC0402JR-074K7L,Yageo,R0402,4.7k,±5%,SMD,DNP,Res.IntLib,
PIC,4,"R38, R48, R49, R53",RES SMD 4.7K OHM 5% 1/16W 0402,RC0402JR-074K7L,Yageo,R0402,4.7k,±5%,SMD,DNP,Res.IntLib,
PIC,4,"R50, R51, R52, R54",RES SMD 4.7K OHM 5% 1/16W 0402,RC0402JR-074K7L,Yageo,R0402,4.7k,±5%,SMD,,Res.IntLib,
5v_dcdc,1,R45,RES SMD 5.23K OHM 1% 1/16W 0402,CRCW04025K23FKED,Vishay Dale,R0402,5.23k,0.063W,SMD,,Res.IntLib,
3v3_dcdc,1,R41,RES SMD 6.81KOHM 0.1% 1/16W 0402,RT0402BRD076K81L,Yageo,R0402,6.81k,1/16W,SMD,,Res.IntLib,
BBB,1,S2,SWITCH TACTILE SPST-NO 0.05A 32V,KMR231GLFS,C&K Components,KMR231G ULC LFS,KMR231GLFS,,SMD,,Switch.IntLib,
PIC,2,"S3, S4",SWITCH TACTILE SPST-NO 0.05A 32V,KMR231GLFS,C&K Components,KMR231G ULC LFS,KMR231GLFS,,SMD,,Switch.IntLib,
PwrInFilter,1,D12,TVS DIODE 40VWM 64.5VC DO214AA,SMBJ40CA,Bourns,DO-214AA (SMBJ40CA),SMBJ40CA,,SMD,,Diode.IntLib,
3v3_dcdc,1,U12,"Voltage Regulators - Switching Regulators 42VIN,2A SIMPLE SW NANO STEP-DOWN REG",LMR24220TL/NOPB,Texas Instruments,DSBGA-28,LMR24220TL/NOPB,,SMD,,IC.IntLib,
5v_dcdc,1,U13,"Voltage Regulators - Switching Regulators 42VIN,2A SIMPLE SW NANO STEP-DOWN REG",LMR24220TL/NOPB,Texas Instruments,DSBGA-28,LMR24220TL/NOPB,,SMD,,IC.IntLib,
PIC,1,J10,Coin Cell Battery Holders SM COIN CELL B/H,3000TR,Keystone Electronics,3000TR,3000TR,,SMD,,Connector.IntLib,
CRYPTO,1,J7,Coin Cell Battery Holders SM COIN CELL B/H,3000TR,Keystone Electronics,3000TR,3000TR,,SMD,,Connector.IntLib,
CRYPTO,1,U17,STD COM 12C TPM 4.4 MM TSSOP UEK,AT97SC3205T-X3A14-10,Microchip / Atmel,TSSOP-28,AT97SC3205T-X3A14-10,,SMD,,IC.IntLib,
CRYPTO,1,U10,IC EEPROM 32KBIT 1MHZ 8SOIC,ATAES132A-SHER-B,Microchip,SOIC-8,ATAES132A-SHER-B,,SMD,,IC.IntLib,
JENNIC,3,"U3.1, U3.2, U3.3",IC CRYPTO 4.5KB I2C,ATSHA204A-XHDA-T,Microchip Technology,TSSOP-8 (wide Body),ATSHA204A-XHDA-T,,SMD,,IC.IntLib,
BBB,1,U16,Beaglebone 2x23 Pin stacking header(2 Pack ),BB-2X23,Microrobotics,BEAGLE_BONE_BLACK_CAPE,BB-2X23,,SMD,,Module.IntLib,
CRYPTO,1,BATT2,Coin Cell Battery 35mAh 12.5mm,CR1220,FDK,,CR1220,"3V, 35mAh",SMD,,Miscellaneous.IntLib,
PIC,1,BATT3,Coin Cell Battery 35mAh 12.5mm,CR1220,FDK,,CR1220,"3V, 35mAh",SMD,,Miscellaneous.IntLib,
JENNIC,3,"U4.1, U4.2, U4.3",RF TXRX MODULE 802.15.4 U.FL ANT,JN5168-001-M06Z,NXP USA Inc.,JN5168-001-M06Z,JN5168-001-M06Z,,SMD,,Module.IntLib,
JENNIC,3,"D3.1, D3.2, D3.3",DIODE SCHOTTKY 20V 0.5A SOD123,MBR0520L,ON Semiconductor,SOD123,MBR0520L,20V 500MA,SMD,,Diode.IntLib,
PIC,1,U26,MCP9808 Series 3.6 V Memory Module Digital Temperature Sensor SMT - MSOP-8,MCP9808T-E/MS,Microchip,SOP65P490X110-8N,MCP9808T-E/MS,,SMD,,SnapEDA.IntLib,
3v3_dcdc,1,L3,FIXED IND 22UH 1.1A 408 MOHM SMD,MPI4040R3-220-R,Eaton Bussmann,MPI4040R3-220-R,22µH,1.1A 408 MOHM,SMD,,Inductor.IntLib,
5v_dcdc,1,L4,FIXED IND 22UH 1.1A 408 MOHM SMD,MPI4040R3-220-R,Eaton Bussmann,MPI4040R3-220-R,22µH,1.1A 408 MOHM,SMD,,Inductor.IntLib,
CRYPTO,4,"R22, R62, R63, R64",RES SMD 4.7K OHM 5% 1/16W 0402,RC0402JR-074K7L,Yageo,R0402,4.7k,±5%,SMD,,Res.IntLib,
BBB,3,"U20, U21, U22",IC BUFF/DVR TRI-ST DUAL 20TSSOP,SN74LVC244APWR,Texas Instruments,TSSOP-20 (SN74LVC),SN74LVC244APWR,,SMD,,IC.IntLib,
